Talk ID,Assigned Topic
1,AI and Machine Learning
2,Community and Tech Education
3,Time Series Analysis
4,AI and Machine Learning
5,Natural Language Processing (NLP)
6,Community and Tech Education
7,Community and Tech Education
8,Community and Tech Education
9,Python Libraries and Tools
10,Web Development and Frontend
11,Data Science and Decision Engines
12,Python Libraries and Tools
13,Python Libraries and Tools
14,Python Libraries and Tools
15,Data Quality
16,AI and Machine Learning
17,Event Streaming and Kafka
18,Community and Tech Education
19,Python Libraries and Tools
20,Robotics
21,Open Source and Software Development
22,Python Libraries and Tools
23,AI and Machine Learning
24,Python Libraries and Tools
25,IoT and MicroPython
26,Community and Tech Education
27,Natural Language Processing (NLP)
28,Python Libraries and Tools
29,Open Source and Software Development
30,Web Development and Frontend
31,Web Development and Frontend
32,Community and Tech Education
33,Community and Tech Education
34,Open Source and Software Development
35,Open Source and Software Development
36,Python Libraries and Tools
